"lon","lat"
,
,
-94.7151865,39.0228485
9.501785,56.26392
,
,
-84.3879824,33.7489954
-97.5164276,35.4675602
-97.9908366,26.1595194
-119.4179324,36.778261
-95.712891,37.09024
,
,
,
-97.3307658,32.7554883
,
-75.1652215,39.9525839
-111.0937311,39.3209801
,
-84.3879824,33.7489954
,
,
-77.1945247,41.2033216
,
-87.6297982,41.8781136
-118.2436849,34.0522342
,
-122.3320708,47.6062095
121.451325,25.053995
-97.7430608,30.267153
,
,
,
-79.3831843,43.653226
-74.0059728,40.7127753
,
-84.3879824,33.7489954
,
,
-73.9441579,40.6781784
-110.926479,32.2217429
-85.6023643,44.3148443
-82.9000751,32.1656221
,
,
-117.9988026,33.6594835
,
-71.0588801,42.3600825
-76.8867008,40.2731911
-95.712891,37.09024
-114.7420408,44.0682019
,
-79.0192997,35.7595731
-87.6467131,41.6100344
,
-69.4454689,45.253783
-79.9958864,40.4406248
-87.9064736,43.0389025
-97.7430608,30.267153
-95.712891,37.09024
-77.2716502,39.1731621
-82.9000751,32.1656221
-106.346771,56.130366
-111.9260519,33.4941704
-121.4943996,38.5815719
-97.9580933,34.6481318
-91.8318334,37.9642529
-74.0059728,40.7127753
-83.1582451,40.0333961
-84.6330115,40.1028264
-80.4139393,37.2295733
-112.2373779,33.5805955
-85.6023643,44.3148443
-89.9651186,41.809751
,
,
-74.1979458,39.9537358
-76.7983067,39.2673283
,
-85.832145,33.649112
-96.6988856,33.0198431
,
-74.0059728,40.7127753
,
,
25.7481511,61.92411
-97.861099,22.2331041
-86.9080655,40.4258686
,
,
,
,
,
-95.712891,37.09024
-85.323214,51.253775
-79.3831843,43.653226
-85.323214,51.253775
,
-94.5785667,39.0997265
,
,
-85.323214,51.253775
-113.593514,37.1091669
-99.9018131,31.9685988
-74.0059728,40.7127753
,
-86.5263857,39.165325
-80.1867138,25.8900949
-75.1652215,39.9525839
-82.907123,40.4172871
-99.9018131,31.9685988
-93.0899578,44.9537029
-72.9932969,40.8858353
-108.0392125,50.8327023
-106.4508639,52.9399159
-118.4380477,34.1494083
-111.8910474,40.7607793
,
,
-0.370679,49.182863
,
-73.9712488,40.7830603
-94.317966,45.5647724
,
-122.2711137,37.8043637
,
,
,
-106.2800242,43.4113604
-95.712891,37.09024
,
-65.3240227,43.7643579
-122.2711137,37.8043637
-80.1917902,25.7616798
-85.323214,51.253775
,
-74.0059728,40.7127753
-86.5804473,35.5174913
-84.4493725,33.6534427
-74.0059728,40.7127753
,
-80.8431267,35.2270869
-89.9651186,41.809751
-98.8138762,53.7608608
,
-87.2549348,37.6295736
-118.61481,34.2506356
,
-114.6276916,32.6926512
,
-88.9906312,40.5142026
-81.5157535,27.6648274
-96.7969879,32.7766642
,
,
,
,
-85.6680863,42.9633599
,
37.6172999,55.755826
,
-95.6890185,39.0558235
-95.6890185,39.0558235
-86.5804473,35.5174913
-118.2436849,34.0522342
-73.7562317,42.6525793
-80.9336753,26.7542312
-122.4194155,37.7749295
,
-95.712891,37.09024
-79.3831843,43.653226
,
-95.712891,37.09024
-74.2097014,40.082129
-84.5193754,34.1014873
,
-74.0059728,40.7127753
-122.4194155,37.7749295
10.8000051,5.4638158
