"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x971226076692217856",2018-03-07 03:28:35,"x910319769085243392","TheRealFalcor","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225859859230721",2018-03-07 03:27:44,"x3610212673","ClearlySilly","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225801394917376",2018-03-07 03:27:30,"x937812245689651200","manbeck57","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter Lite",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225671153405952",2018-03-07 03:26:59,"x1257332107","JanZiggy1","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter Web Client",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225632544665600",2018-03-07 03:26:49,"x46966049","doctordrewl","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter Web Client",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225576324308992",2018-03-07 03:26:36,"x947103457931964416","CeeTee72","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter Web Client",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225570460782593",2018-03-07 03:26:35,"x425168475","boylexis","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter Lite",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225556271296513",2018-03-07 03:26:31,"x91480911","realyourhedge","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPhone",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225511635636224",2018-03-07 03:26:21,"x3260302530","Tulahearted","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for Android",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
"x971225410292903936",2018-03-07 03:25:56,"x822545823170957312","TracieLeeCan","RT @RealAlexJones: Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.…","Twitter for iPad",,,,FALSE,TRUE,0,459,,,,,,,,,,,,,,"x109065990","RealAlexJones","en",,,"x971219400866107393","Health channel that covered dangers of flu vaccine, gets shut down for ""going against YouTube's guidelines"" - https://t.co/Ha9WJPjzAg",,,,,,,,,
